data i czas,T [st. C],p [hPa],RH [%],Rejestrator parametrów środowiskowych - Piotr Knutel,,
2021-02-18 20:40:01,"25,86","985,65",35,,,
2021-02-18 20:50:01,"25,69","986,08",34,,,
2021-02-18 21:00:01,"25,69","985,95",34,,,
2021-02-18 21:10:01,"25,85","985,73",33,,,
2021-02-18 21:20:01,"25,93","985,64",33,,,
2021-02-18 21:30:01,"25,99","985,55",32,,,
2021-02-18 21:40:01,"25,76","986,1",32,,,
2021-02-19 09:37:13,"24,58","984,8",30,,,a
2021-02-19 09:40:00,"24,81","984,39",30,,,
2021-02-19 09:50:00,"25,37","983,09",30,,,
2021-02-19 10:00:00,"25,49","982,66",30,,,
2021-02-19 10:02:51,"25,47","982,75",30,,,
2021-02-19 10:03:10,"25,48","982,74",30,,,
2021-02-19 10:05:15,"25,46","982,75",30,,,
2021-02-19 10:10:01,"25,23","983,19",30,,,
2021-02-19 10:20:01,"24,98","983,7",31,,,
2021-02-19 10:30:01,"24,89","983,9",31,,,
2021-02-19 10:40:01,"24,86","984,07",31,,,
2021-02-19 10:50:01,"24,85",984,31,,,
2021-02-19 11:00:01,"24,88","983,93",31,,,
2021-02-19 11:10:01,"24,89","983,9",32,,,
2021-02-19 11:20:01,"24,91","983,81",32,,,
2021-02-19 11:30:01,"24,91","983,79",32,,,
2021-02-19 11:40:01,"24,95","983,63",32,,,
2021-02-19 11:50:01,"25,04","983,38",32,,,
2021-02-19 12:00:01,"25,13","983,14",32,,,
2021-02-19 12:20:01,"25,25","982,63",32,,,
2021-02-19 12:30:01,"25,19","982,59",32,,,
2021-02-19 12:40:01,"25,15","982,69",32,,,
2021-02-19 12:50:01,"25,12","982,73",32,,,
2021-02-19 13:00:01,"25,08","982,81",33,,,
2021-02-19 13:10:01,"25,07","982,84",33,,,
2021-02-19 13:20:01,"25,07","982,81",33,,,
2021-02-19 13:30:01,"25,03","982,78",33,,,
2021-02-19 13:40:01,25,"982,98",33,,,
2021-02-19 13:50:01,"25,02","982,81",33,,,
2021-02-19 14:00:01,"25,02","982,79",33,,,
2021-02-19 14:10:01,"25,01","982,79",33,,,
2021-02-19 14:20:01,"25,02","982,81",34,,,
2021-02-19 14:30:01,"25,05","982,77",34,,,
2021-02-19 14:40:01,"25,1","982,43",34,,,
2021-02-19 14:50:01,"25,12","982,65",34,,,
2021-02-19 15:00:01,"25,16","982,66",35,,,
2021-02-19 15:10:01,"25,14","982,95",35,,,
2021-02-19 15:20:01,"25,15","983,18",35,,,
2021-02-19 15:30:01,"25,26","982,94",34,,,
2021-02-19 15:40:01,"25,25",983,34,,,
2021-02-19 15:50:01,"25,29","982,95",34,,,
2021-02-19 16:00:01,"25,35","982,92",34,,,
2021-02-19 16:10:01,"25,46","982,75",33,,,
2021-02-19 16:20:01,"25,5","982,75",33,,,
2021-02-19 16:30:01,"25,54","982,94",33,,,
2021-02-19 16:40:01,"25,54","983,04",33,,,
2021-02-19 16:50:01,"25,51","983,14",33,,,
2021-02-19 17:00:01,"25,45","983,28",34,,,
